Point,Pre-Op 3D [X],Pre-Op 3D [Y],Pre-Op 3D [Z],Planned 3D [X],Planned 3D [Y],Planned 3D [Z],Delta 3D,Delta X,Delta X Direction,Delta Y,Delta Y Direction,Delta Z,Delta Z Direction
LO R1-1,-34.23,-57.59,-29.54,,,,,,,,,,
LO R1-2,-33.62,-59.98,-28.78,,,,,,,,,,
LO R1-3,-31.53,-62.14,-27.51,,,,,,,,,,
LO R1-4,-29.69,-63.66,-26.29,,,,,,,,,,
LO R1-5,-27.71,-64.58,-25.17,,,,,,,,,,
LO R1-6,-25.58,-66.66,-24.3,,,,,,,,,,
LO R1-7,-22.26,-70.59,-23.33,,,,,,,,,,
LO R1-8,-18.97,-72.63,-22.57,,,,,,,,,,
LO R1-9,-15.29,-75.03,-22.14,,,,,,,,,,
LO R1-10,-12.62,-76.8,-21.74,,,,,,,,,,
CT R1-1,-33.87,-58.81,-29.39,,,,,,,,,,
CT R1-2,-31.42,-61.31,-28.72,,,,,,,,,,
CT R1-3,-28.99,-62.86,-27.99,,,,,,,,,,
CT R1-4,-26.32,-64.24,-27.14,,,,,,,,,,
CT R1-5,-23.62,-68.43,-26.39,,,,,,,,,,
CT R1-6,-21.02,-70.77,-25.6,,,,,,,,,,
CT R1-7,-18.28,-72.62,-24.79,,,,,,,,,,
CT R1-8,-15.7,-74.58,-24.07,,,,,,,,,,
CT R1-9,-13.05,-74.94,-23.25,,,,,,,,,,
CT R1-10,-10.55,-70.26,-22.49,,,,,,,,,,
LO L1-1,11.25,-75.3,-24.77,,,,,,,,,,
LO L1-2,13.11,-75.45,-25.65,,,,,,,,,,
LO L1-3,14.91,-73.88,-27.08,,,,,,,,,,
LO L1-4,17.05,-72.32,-28.29,,,,,,,,,,
LO L1-5,19.46,-70.32,-29.68,,,,,,,,,,
LO L1-6,21.83,-67.98,-31.25,,,,,,,,,,
LO L1-7,24.42,-64.37,-32.37,,,,,,,,,,
LO L1-8,26.23,-61.72,-33.62,,,,,,,,,,
LO L1-9,28.13,-58.52,-34.17,,,,,,,,,,
LO L1-10,29.34,-43.56,-35.1,,,,,,,,,,
CT L1-1,9.82,-66.25,-24.74,,,,,,,,,,
CT L1-2,11.91,-76.06,-25.76,,,,,,,,,,
CT L1-3,14.26,-74.46,-26.85,,,,,,,,,,
CT L1-4,16.44,-72.95,-28.01,,,,,,,,,,
CT L1-5,18.9,-70.95,-29.17,,,,,,,,,,
CT L1-6,21.22,-68.82,-30.33,,,,,,,,,,
CT L1-7,23.68,-65.53,-31.58,,,,,,,,,,
CT L1-8,26.09,-61.99,-32.74,,,,,,,,,,
CT L1-9,28.13,-58.47,-33.9,,,,,,,,,,
CT L1-10,29.29,-44.86,-34.55,,,,,,,,,,
LO 4-1,-45.35,-46.74,49.24,,,,,,,,,,
LO 4-2,-36.07,-59.53,51.87,,,,,,,,,,
LO 4-3,-27.42,-65.93,53.88,,,,,,,,,,
LO 4-4,-14.5,-71.42,55.13,,,,,,,,,,
LO 4-5,-1.71,-73.79,55.51,,,,,,,,,,
LO 4-6,9.2,-73.84,55.88,,,,,,,,,,
LO 4-7,18.74,-72.21,55.38,,,,,,,,,,
LO 4-8,28.39,-68.98,54.13,,,,,,,,,,
LO 4-9,37.92,-63.21,52.5,,,,,,,,,,
LO 4-10,44.32,-55.63,51.5,,,,,,,,,,
CT 4-1,-45.62,-46.6,49.97,,,,,,,,,,
CT 4-2,-36.2,-59.23,53.55,,,,,,,,,,
CT 4-3,-27.48,-65.82,55.42,,,,,,,,,,
CT 4-4,-14.32,-71.08,56.89,,,,,,,,,,
CT 4-5,-1.78,-73.28,57.75,,,,,,,,,,
CT 4-6,9.05,-74.54,58.14,,,,,,,,,,
CT 4-7,18.86,-71.54,57.75,,,,,,,,,,
