Point,Pre-Op 3D [X],Pre-Op 3D [Y],Pre-Op 3D [Z],Planned 3D [X],Planned 3D [Y],Planned 3D [Z],Delta 3D,Delta X,Delta X Direction,Delta Y,Delta Y Direction,Delta Z,Delta Z Direction
LO R1-1,105.93,36.44,-88.01,,,,,,,,,,
LO R1-2,103.85,36.95,-88.7,,,,,,,,,,
LO R1-3,101.67,39.07,-89.85,,,,,,,,,,
LO R1-4,99.77,40.54,-90.72,,,,,,,,,,
LO R1-5,97.81,42.38,-92.1,,,,,,,,,,
LO R1-6,95.28,44.88,-93.08,,,,,,,,,,
LO R1-7,92.63,48.67,-94.17,,,,,,,,,,
LO R1-8,90.5,51.04,-95.26,,,,,,,,,,
LO R1-9,88.48,53.28,-96.41,,,,,,,,,,
LO R1-10,86.52,55.77,-97.1,,,,,,,,,,
CT R1-1,105.98,34.89,-87.03,,,,,,,,,,
CT R1-2,102.82,37.73,-88.24,,,,,,,,,,
CT R1-3,99.94,40.04,-89.28,,,,,,,,,,
CT R1-4,97,42.36,-90.26,,,,,,,,,,
CT R1-5,94.47,45.27,-91.23,,,,,,,,,,
CT R1-6,91.88,48.8,-92.21,,,,,,,,,,
CT R1-7,89.69,50.69,-93.19,,,,,,,,,,
CT R1-8,87.56,52.11,-93.94,,,,,,,,,,
CT R1-9,85.65,53.64,-94.57,,,,,,,,,,
CT R1-10,84.84,55.71,-95.26,,,,,,,,,,
LO L1-1,130.96,36.31,-89.53,,,,,,,,,,
LO L1-2,133.67,38.34,-90.52,,,,,,,,,,
LO L1-3,136.12,40.28,-91.67,,,,,,,,,,
LO L1-4,138.1,41.87,-92.86,,,,,,,,,,
LO L1-5,140.14,43.87,-93.91,,,,,,,,,,
LO L1-6,142.01,46.02,-95.05,,,,,,,,,,
LO L1-7,143.84,48.89,-96.09,,,,,,,,,,
LO L1-8,145.24,51.04,-97.19,,,,,,,,,,
LO L1-9,146.76,53.34,-98.23,,,,,,,,,,
LO L1-10,147.33,54.68,-98.7,,,,,,,,,,
CT L1-1,130.68,35.42,-88.29,,,,,,,,,,
CT L1-2,132.74,36.1,-89.32,,,,,,,,,,
CT L1-3,135.08,38.62,-90.47,,,,,,,,,,
CT L1-4,137.53,40.62,-91.67,,,,,,,,,,
CT L1-5,139.62,42.53,-92.81,,,,,,,,,,
CT L1-6,142.17,45.31,-94.06,,,,,,,,,,
CT L1-7,143.78,47.72,-94.84,,,,,,,,,,
CT L1-8,145.45,50.19,-95.78,,,,,,,,,,
CT L1-9,146.96,52.43,-96.61,,,,,,,,,,
CT L1-10,148.34,55.29,-97.2,,,,,,,,,,
LO 4-1,73.2,56.21,-16.12,,,,,,,,,,
LO 4-2,84.69,42.37,-14.3,,,,,,,,,,
LO 4-3,95.81,35.15,-13.47,,,,,,,,,,
LO 4-4,109.52,31.23,-12.27,,,,,,,,,,
LO 4-5,128.9,30.32,-12.59,,,,,,,,,,
LO 4-6,135.01,31.57,-11.99,,,,,,,,,,
LO 4-7,147.36,35.99,-12.18,,,,,,,,,,
LO 4-8,157.96,42.94,-13.18,,,,,,,,,,
LO 4-9,168.04,56.43,-15.17,,,,,,,,,,
LO 4-10,175.02,75.45,-17.16,,,,,,,,,,
CT 4-1,72.74,54.12,-17.23,,,,,,,,,,
CT 4-2,84.2,41.92,-14.75,,,,,,,,,,
CT 4-3,95.94,34.76,-13.38,,,,,,,,,,
CT 4-4,109.85,30.3,-12.69,,,,,,,,,,
CT 4-5,129.03,29.41,-12.64,,,,,,,,,,
CT 4-6,135.08,30.61,-12.62,,,,,,,,,,
CT 4-7,147.51,34.95,-13.01,,,,,,,,,,
